;parameter;overall;УИК №3416;
1;Число избирателей, внесенных в список;3018.0;3018;
2;Число бюллетеней, полученных участковой комиссией;1838.0;1838;
3;Число бюллетеней, выданных избирателям в помещении для голосования;876.0;876;
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;2.0;2;
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;50.0;50;
6;Число погашенных бюллетеней;912.0;912;
7;Число бюллетеней в переносных ящиках для голосования;50.0;50;
8;Число бюллетеней в стационарных ящиках для голосования;878.0;878;
9;Число недействительных бюллетеней;24.0;24;
10;Число действительных бюллетеней;904.0;904;
11;Число утраченных бюллетеней;0.0;0;
12;Число бюллетеней, не учтенных при получении;0.0;0;
