;parameter;overall;УИК №1532;УИК №3413;УИК №3418;УИК №3419
1;Число избирателей, внесенных в список;10523.0;2736;2534;2292;2961
2;Число бюллетеней, полученных участковой комиссией;7345.0;1910;1770;1600;2065
3;Число бюллетеней, выданных избирателям в помещении для голосования;1338.0;321;280;355;382
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;6.0;2;1;0;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;20.0;7;3;10;0
6;Число погашенных бюллетеней;5987.0;1582;1487;1235;1683
7;Число бюллетеней в переносных ящиках для голосования;20.0;7;3;10;0
8;Число бюллетеней в стационарных ящиках для голосования;1343.0;323;281;354;385
9;Число недействительных бюллетеней;29.0;7;6;11;5
10;Число действительных бюллетеней;1334.0;323;278;353;380
11;Число утраченных бюллетеней;0.0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0
