;parameter;overall;УИК №1529;УИК №1530;УИК №1531;УИК №1533;УИК №1535
1;Число избирателей, внесенных в список;10231.0;1280;2622;2155;1614;2560
2;Число бюллетеней, полученных участковой комиссией;7165.0;900;1835;1510;1130;1790
3;Число бюллетеней, выданных избирателям в помещении для голосования;1638.0;192;467;267;286;426
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;5.0;0;3;0;2;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;107.0;26;23;11;20;27
6;Число погашенных бюллетеней;5420.0;682;1345;1232;824;1337
7;Число бюллетеней в переносных ящиках для голосования;106.0;26;22;11;20;27
8;Число бюллетеней в стационарных ящиках для голосования;1642.0;192;469;267;288;426
9;Число недействительных бюллетеней;50.0;10;9;13;8;10
10;Число действительных бюллетеней;1698.0;208;482;265;300;443
11;Число утраченных бюллетеней;0.0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0
