;parameter;overall;УИК №30;УИК №31;УИК №32;УИК №33;УИК №34;УИК №35;УИК №36;УИК №37
1;Число избирателей, внесенных в список;19478.0;2569;2014;2679;2804;2236;2400;2804;1972
2;Число бюллетеней, полученных участковой комиссией;14200.0;1850;1450;1950;2000;1600;1750;2000;1600
3;Число бюллетеней, выданных избирателям в помещении для голосования;2720.0;319;326;313;386;425;276;398;277
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;17.0;2;1;3;4;4;2;1;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;138.0;30;15;14;16;3;19;15;26
6;Число погашенных бюллетеней;11342.0;1501;1109;1623;1598;1172;1455;1587;1297
7;Число бюллетеней в переносных ящиках для голосования;138.0;30;15;14;16;3;19;15;26
8;Число бюллетеней в стационарных ящиках для голосования;2735.0;321;326;316;389;429;278;399;277
9;Число недействительных бюллетеней;59.0;7;7;8;10;10;1;11;5
10;Число действительных бюллетеней;2814.0;344;334;322;395;422;296;403;298
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0
