;name;overall;УИК №405;УИК №406;УИК №407;УИК №414;УИК №416;УИК №417;УИК №418
14;Антонов Сергей Алексеевич;445.0;78;57;78;54;51;66;61
15;Богомолов Иван Борисович;420.0;56;46;41;54;74;81;68
16;Гроховский Артур Саидович;235.0;43;28;33;29;27;49;26
17;Губардина Ольга Александровна;159.0;17;21;29;22;20;20;30
18;Гусынский Олег Сергеевич;89.0;15;13;11;10;11;9;20
19;Давоян Андроник Эдуардович;52.0;12;9;9;8;6;3;5
20;Егорова Эльвира Владимировна;757.0;116;115;108;91;101;103;123
21;Жиляев Андрей Геннадьевич;192.0;29;23;30;23;30;22;35
22;Зеленский Алексей Петрович;348.0;47;52;54;40;35;65;55
23;Калиновский Владимир Сергеевич;1308.0;254;166;160;167;181;197;183
24;Каспарова Элина Артуровна;646.0;103;105;99;83;79;69;108
25;Кибиткин Альберт Валерьевич;372.0;70;40;53;40;39;54;76
26;Корепанов Сергей Геннадьевич;149.0;22;16;28;26;17;20;20
27;Кравец Татьяна Викторовна;867.0;178;120;146;106;93;85;139
28;Круглова Анна Львовна;1226.0;231;151;148;146;173;193;184
29;Куприков Михаил Юрьевич;569.0;100;52;73;64;63;131;86
30;Лазарева Ольга Игоревна;432.0;71;51;64;57;49;63;77
31;Латыпов Альберт Айратович;63.0;7;10;8;12;9;6;11
32;Лихачева Надежда Николаевна;307.0;65;39;32;36;42;33;60
33;Любарский Сергей Борисович;598.0;86;98;80;69;84;69;112
34;Любибогова Елена Михайловна;91.0;18;13;17;11;10;9;13
35;Митянин Артем Дмитриевич;664.0;119;91;85;84;105;92;88
36;Орехов Сергей Юрьевич;1335.0;239;168;155;163;186;215;209
37;Рядненко Анастасия Алексеевна;404.0;61;62;42;51;47;82;59
38;Сажина Анна Александровна;735.0;126;111;96;110;92;74;126
39;Самарец Григорий Анатольевич;233.0;42;29;33;21;33;35;40
40;Сивов Алексей Евгеньевич;178.0;30;15;26;24;23;38;22
41;Трифонова Галина Олеговна;114.0;20;17;17;8;19;17;16
42;Тулуша Игорь Олегович;497.0;91;61;61;65;74;64;81
43;Федотов Денис Юрьевич;131.0;24;12;14;21;18;24;18
44;Черноситова Эльвира Леонидовна;272.0;53;38;32;31;39;32;47
