;name;overall;УИК №1696;УИК №1697;УИК №1698;УИК №1699;УИК №1700;УИК №1701;УИК №1702;УИК №1703;УИК №1704;УИК №1706;УИК №1707
14;Антохина Дарья Дмитриевна;431.0;37;19;39;37;36;29;64;35;42;52;41
15;Бойков Алексей Александрович;1593.0;191;169;194;155;176;157;102;119;111;120;99
16;Былинин Никита Сергеевич;140.0;19;12;24;20;10;4;12;5;18;8;8
17;Давыдов Дмитрий Михайлович;141.0;22;12;11;11;13;13;19;10;11;7;12
18;Кабилов Олим Хамитович;114.0;16;9;12;10;7;7;8;6;17;11;11
19;Леликова Елена Сергеевна;1329.0;164;126;146;144;140;126;89;96;92;114;92
20;Леонов Александр Николаевич;417.0;34;17;37;30;34;27;63;52;40;43;40
21;Максимов Иван Львович;365.0;25;38;39;25;30;36;33;27;46;29;37
22;Москалев Александр Евгеньевич;1298.0;159;130;151;139;153;123;85;103;88;94;73
23;Муравьев Олег Вячеславович;154.0;24;18;0;11;15;7;17;12;12;26;12
24;Никифоров Геннадий Алексеевич;180.0;23;17;17;16;19;6;19;16;14;15;18
25;Попова Елена Владимировна;1308.0;175;126;140;147;144;122;86;96;88;97;87
26;Пырлик Евгений Иванович;130.0;8;16;20;14;9;8;11;14;12;11;7
27;Рогов Роман Александрович;193.0;23;14;52;12;15;7;15;5;15;17;18
28;Рыбовалова Оксана Леонидовна;400.0;32;27;35;39;33;18;62;44;30;48;32
29;Сизова Елена Олеговна;269.0;24;37;31;18;18;21;24;21;16;31;28
30;Скворцов Олег Валентинович;207.0;20;23;19;14;20;10;17;17;18;24;25
31;Смакотин Андрей Владимирович;1190.0;152;139;120;128;131;116;81;87;79;79;78
32;Супранова Екатерина Андреевна;112.0;23;7;8;9;12;13;6;9;7;9;9
33;Терехина Ирина Александровна;187.0;22;19;20;17;21;12;16;15;16;15;14
34;Титов Владимир Юрьевич;251.0;25;17;19;21;24;14;31;14;20;24;42
35;Фомин Виталий Анатольевич;340.0;24;39;32;27;30;32;37;24;32;41;22
36;Худов Михаил Михайлович;175.0;21;19;23;14;18;11;22;7;17;15;8
